*PIKACHU*;Midnight Hot! Midnight Hot!...
thojolu;Expert Ordinateur Portables
KapweT;L'exocet.
Topher85;Troller since 1985
Tekken79;Sympathy for the Red Devils
raiton30;LA chance.
karoliko;gaucher contrariant
Cver1;...alors avance.
neoeljin;GT: D4rkB00n
Pykchnetz;ヌジャベス
Serpico7;Net______________________worK
psykhi;POUR LA BELGIQUE
KennyKnafou;kinanischka
the Bloodhound Gang;ɐıןɐɹʇsnɐ uı 'ǝןıɥʍuɐǝɯ
Mihirung_;Bouche de grenouille
shinfei;PSN : Shinfei
Abyss78;IUT Sceaux  puis ESC Grenoble
moshnride;ABSE Photography
bardiel;Debian powa !
Prums;je suis occupé la...
nico6259;Facilitateur, coach POGNON
junk1e;pour du faux
Melkaar;Champ d'ail
testostezor;金牛座
Nauhar;Et hop TT
guimo33;Random guy
chatoo;syrienne réfugiée fiscale
unnam3d;NO NAME DE LA TEAM OSEF
PikitFleur;Bonne à rien, mauvaise en tout
ptitelunatik;Oups
ber31;MOVE BACK, THE ONYX IS HERE
Ouiche54;Grace Kellyx
skiiz;Soit bielle et tais-toi.
SyuKaaras;Kuroi
andre_prigent;Futur modo
hugeq;Optimisation Team Member
popeye0;⭐⭐⭐⭐⭐
lajarnette;Qui ne tente rien n'a rien
elfe_errant;A consommer avec modération
BennyHeal;Shérif
Grande Greluche;Smartass from Dallas
GenyaB;Shit fucking game.
Zedess;114
centurium;aka Milllenium
hecube;La ruse est finaude !
Connemrara;Socialiste et syndiqué.
Elias de Kelliwich;Dit : Le Fourbe.
Paul le Poulpe;In POI I trust.
flo'r;Je stalke pas, j'explique.
The Smoking Man;Distributeur de rage
West-Point;Focus on sciences
gougoul07;Bo comme un dieu
niju;Call me doc'
Hadock31;Coffee first questions later
Reyleigh;Plump And Round
WirIpse;Sent from my 3310
Da_Edge;HFR BS
GoldAdvance;Audiste corrompu.
cindytroford;¯\_(ツ)_/¯
erwann dit flo;Quand votre monde s'éclaire...
spacex;Space commando is in da place
_Andro_;Je fais toujours cette tronche
No_Answer;Hug Division
Le_Sudar;Faut que ca bouge !
sofasong;Et ta sœur !
le zombie;Fait la France Grande Encore
DocteurZoidberg;Numquam desistas
El Kiwi;Bright baunir
Gogole Masque;Gros mort
Bretzel Authentique;Je baise, j'étreins, j'encule
Crapoussin;Coupeur de tiges
hostiti;L’insomnie est une illusion
Bobinou90;ynwa
TheMiz;Chatouilleur de smartphone
thun_on_the_r;Employé de l'année en 1979
shin647;je les attraperais tous!!!!!
djorec;mon Heden et moi
Andy Kauffman;Prisonnier politique
doosen;Des nuées de sens
shinketsushuu;Toujours serein, jamais pigeon
Irmada;Chouette
Altered;Prix public conseillé
Nowa;Vivement les croissants
Marc;Je suis sage depuis longtemps
